tconst	averageRating	numVotes
tt0011216	6.9	29
tt0016906	5.6	19
tt0062336	6.3	158
tt0065392	7.4	12
tt0069049	6.8	6962
tt0083060	6.7	30
tt0087963	6.8	58
tt0093119	3.2	870
tt0100275	6.5	325
tt0104988	8.4	8
tt0112502	4.6	41
tt0116991	7.3	68
tt0137204	8.3	288
tt0137818	4.5	31
tt0159369	7.3	84
tt0170155	6.4	12
tt0170651	6.7	17
tt0176694	8.0	860
tt0191476	6.0	138
tt0192528	4.0	108
tt0195933	7.0	6
tt0210470	6.7	65
tt0228933	6.6	257
tt0247643	4.0	14
tt0249516	1.6	10534
tt0255820	6.0	179
tt0276568	6.6	13
tt0282252	5.6	18
tt0283440	7.0	17
tt0285252	3.6	260
tt0293069	6.4	1286
tt0293429	6.1	153691
tt0297400	6.7	103
tt0304681	8.3	11
tt0306058	5.5	26
tt0308078	6.2	15
tt0315642	7.2	18492
tt0323808	3.8	2652
tt0328810	7.8	86
tt0329539	5.8	107
tt0330811	6.2	15
tt0330987	7.2	17
tt0331314	5.0	393
tt0337692	6.1	41087
tt0337926	6.0	689
tt0338258	6.7	35
tt0339736	5.6	3364
tt0339917	6.2	15
tt0346045	6.5	44
tt0359950	7.3	305960
tt0360556	4.9	19292
tt0364201	6.9	28
tt0365545	6.4	8898
tt0365907	6.5	117492
tt0368133	6.6	8
tt0369610	7.0	606681
tt0372538	6.6	90
tt0376136	6.2	101266
tt0376479	6.1	16236
tt0377981	5.9	54525
tt0383010	5.1	31095
tt0383477	5.9	36
tt0385887	6.8	52479
tt0387112	8.0	12
tt0400320	7.6	27
tt0401729	6.6	264634
tt0403935	3.3	3672
tt0404978	5.7	24359
tt0406282	8.6	22
tt0407194	6.4	7
tt0409379	6.1	8330
tt0409847	6.0	215937
tt0420293	6.9	41216
tt0424859	6.3	70
tt0425785	6.0	9
tt0426566	6.0	17
tt0427543	6.2	2574
tt0430524	8.7	16
tt0431021	5.9	59175
tt0433035	7.0	313787
tt0433397	4.5	250
tt0433533	4.9	257
tt0433787	6.4	15
tt0435651	6.5	115986
tt0436782	9.1	27
tt0437086	7.3	251083
tt0439724	7.4	35
tt0441881	6.8	11491
tt0443272	7.3	253939
tt0443465	6.8	55922
tt0443533	6.3	1380
tt0446792	7.6	26
tt0448022	6.6	1281
tt0448115	7.0	302207
tt0448694	6.6	152062
tt0451154	3.3	226
tt0451201	4.6	779
tt0451279	7.4	618977
tt0452183	6.6	97
tt0452664	5.4	1006
tt0453562	7.5	91320
tt0454876	7.9	605186
tt0455323	6.4	17065
tt0455944	7.2	354170
tt0458339	6.9	793072
tt0458413	6.4	32442
tt0458481	6.5	157883
tt0459748	6.8	3819
tt0460528	8.5	39
tt0460809	8.6	23
tt0460890	6.4	13542
tt0460957	8.5	10
tt0461336	5.9	1897
tt0462036	5.8	28
tt0462335	5.6	41021
tt0463960	3.4	1760
tt0464054	6.6	386
tt0464891	6.5	101
tt0466893	6.5	17063
tt0469021	6.9	30955
tt0469152	5.1	138
tt0469158	6.9	39
tt0470752	7.7	509834
tt0470936	4.2	69
tt0471042	6.2	139429
tt0472181	5.4	87636
tt0472399	6.6	157023
tt0473088	8.9	34
tt0473122	6.4	63
tt0475239	7.8	28
tt0475290	6.3	129968
tt0477302	6.9	100259
tt0478304	6.8	173112
tt0478970	7.3	617353
tt0479700	6.0	78
tt0479807	8.2	14
tt0479997	5.4	92802
tt0480239	5.6	13586
tt0480687	5.8	123471
tt0481470	7.2	18
tt0481499	7.2	204816
tt0483740	7.8	30
tt0484037	8.8	7
tt0484828	2.9	230
tt0485061	6.3	2955
tt0485521	6.3	374
tt0485535	5.3	8
tt0485985	5.9	34858
tt0486622	6.7	76
tt0490075	5.1	367
tt0490215	7.2	107284
tt0490847	5.0	68
